Date,Close
2023-01-02,18197.45
2023-01-03,18232.55
2023-01-04,18042.95
2023-01-05,17992.15
2023-01-06,17859.45
2023-01-09,18101.20
2023-01-10,18122.50
2023-01-11,17895.70
2023-01-12,17858.20
2023-01-13,17956.60
2023-01-16,17894.85
2023-01-17,18053.30
2023-01-18,18165.35
2023-01-19,18107.85
2023-01-20,18027.65
2023-01-23,18118.55
2023-01-24,18118.30
2023-01-25,17891.95
2023-01-27,17604.35
2023-01-30,17648.95
2023-01-31,17662.15
2023-02-01,17616.30
2023-02-02,17610.40
2023-02-03,17854.05
2023-02-06,17764.60
2023-02-07,17721.50
2023-02-08,17871.70
2023-02-09,17893.45
2023-02-10,17856.50
2023-02-13,17770.90
2023-02-14,17929.85
2023-02-15,18015.85
2023-02-16,18035.85
2023-02-17,17944.20
2023-02-20,17844.60
2023-02-21,17826.70
2023-02-22,17554.30
2023-02-23,17511.25
2023-02-24,17465.80
2023-02-27,17392.70
